article_name,country,region,revision_id,article_quality,population
Ali Fawzi Rebaine,algeria,AFRICA,686269631,Stub,44.357
Ahmed Attaf,algeria,AFRICA,705910185,Stub,44.357
Ahmed Djoghlaf,algeria,AFRICA,707427823,Stub,44.357
Hammi Larouissi,algeria,AFRICA,708060571,Stub,44.357
Salah Goudjil,algeria,AFRICA,708980561,Stub,44.357
Yazid Zerhouni,algeria,AFRICA,711888752,Stub,44.357
Saad Dahlab,algeria,AFRICA,712810569,Stub,44.357
Naima Farhi,algeria,AFRICA,713203530,Stub,44.357
Mustapha Stambouli,algeria,AFRICA,713635313,Stub,44.357
Rabeh Kebir,algeria,AFRICA,721935284,Stub,44.357
Ali Boumendjel,algeria,AFRICA,721981996,Stub,44.357
Mahmoud Cherif,algeria,AFRICA,722113361,Stub,44.357
Abdelhamid Temmar,algeria,AFRICA,739114957,Stub,44.357
Abdelhafid Boussouf,algeria,AFRICA,740440784,Stub,44.357
Abderrachid Boukerzaza,algeria,AFRICA,740706219,Stub,44.357
Mohamed Boudiaf,algeria,AFRICA,746646095,C,44.357
Abderrahmane Farès,algeria,AFRICA,746764434,Start,44.357
Lamine Khene,algeria,AFRICA,746936441,Stub,44.357
Fatima Zohra Karadja,algeria,AFRICA,747481177,Start,44.357
Mhamed Yazid,algeria,AFRICA,747720470,Start,44.357
Rabah Bitat,algeria,AFRICA,755092305,Start,44.357
Mounia Meslem,algeria,AFRICA,757615880,Stub,44.357
Mourad Medelci,algeria,AFRICA,757817902,Start,44.357
Tahar Touati,algeria,AFRICA,760143034,Start,44.357
Mohamed Ben Ahmed Abdelghani,algeria,AFRICA,764203869,Stub,44.357
Omar Oussedik,algeria,AFRICA,766079623,Start,44.357
Mohamed Salah Dembri,algeria,AFRICA,766231134,Stub,44.357
Fatiha Boudiaf,algeria,AFRICA,766231159,Start,44.357
Mohamed Boudia,algeria,AFRICA,766231165,Start,44.357
Ahmed Tewfik El Madani,algeria,AFRICA,767405413,Stub,44.357
Khalida Toumi,algeria,AFRICA,770282657,Start,44.357
Lyès Deriche,algeria,AFRICA,771832169,Start,44.357
Djilali Mehri,algeria,AFRICA,772651059,Stub,44.357
