country,population,region
Algeria,44.357,AFRICA
Egypt,100.803,AFRICA
Libya,6.891,AFRICA
Morocco,35.952,AFRICA
Sudan,43.849,AFRICA
Tunisia,11.895999999999999,AFRICA
Western Sahara,597.0,AFRICA
Benin,12.209000000000001,AFRICA
Burkina Faso,20.903000000000002,AFRICA
Cape Verde,556.0,AFRICA
Cote d'Ivoire,26.175,AFRICA
Gambia,2.417,AFRICA
Ghana,31.073,AFRICA
Guinea,12.56,AFRICA
Guinea-Bissau,1.9269999999999998,AFRICA
Liberia,5.058,AFRICA
Mali,20.250999999999998,AFRICA
Mauritania,4.65,AFRICA
Niger,24.189,AFRICA
Nigeria,206.14,AFRICA
Senegal,16.744,AFRICA
Sierra Leone,7.977,AFRICA
Togo,8.279,AFRICA
Burundi,11.866,AFRICA
Comoros,0.87,AFRICA
Djibouti,988.0,AFRICA
Eritrea,3.5460000000000003,AFRICA
Ethiopia,114.916,AFRICA
Kenya,53.528,AFRICA
Madagascar,27.691,AFRICA
Malawi,19.13,AFRICA
Mauritius,1.265,AFRICA
Mayotte,284.0,AFRICA
Mozambique,31.166,AFRICA
Reunion,861.0,AFRICA
Rwanda,12.952,AFRICA
Seychelles,98.0,AFRICA
Somalia,15.892999999999999,AFRICA
South Sudan,11.194,AFRICA
Tanzania,59.733999999999995,AFRICA
Uganda,45.74100000000001,AFRICA
Zambia,18.384,AFRICA
Zimbabwe,14.863,AFRICA
Angola,32.522,AFRICA
Cameroon,26.598000000000003,AFRICA
Central African Republic,4.83,AFRICA
Chad,16.877,AFRICA
Congo,5.518,AFRICA
"Congo, Dem. Rep.",89.568,AFRICA
Equatorial Guinea,1.403,AFRICA
Gabon,2.231,AFRICA
Sao Tome and Principe,0.21,AFRICA
Botswana,2.3169999999999997,AFRICA
eSwatini,1.104,AFRICA
Lesotho,2.142,AFRICA
Namibia,2.541,AFRICA
South Africa,59.628,AFRICA
Canada,38.19,NORTHERN AMERICA
United States,329.87800000000004,NORTHERN AMERICA
Belize,419.0,LATIN AMERICA AND THE CARIBBEAN
Costa Rica,5.111000000000001,LATIN AMERICA AND THE CARIBBEAN
El Salvador,6.481,LATIN AMERICA AND THE CARIBBEAN
Guatemala,18.066,LATIN AMERICA AND THE CARIBBEAN
Honduras,9.863999999999999,LATIN AMERICA AND THE CARIBBEAN
Mexico,127.792,LATIN AMERICA AND THE CARIBBEAN
Nicaragua,6.596,LATIN AMERICA AND THE CARIBBEAN
Panama,4.283,LATIN AMERICA AND THE CARIBBEAN
Antigua and Barbuda,98.0,LATIN AMERICA AND THE CARIBBEAN
Bahamas,393.0,LATIN AMERICA AND THE CARIBBEAN
Barbados,287.0,LATIN AMERICA AND THE CARIBBEAN
Cuba,11.280999999999999,LATIN AMERICA AND THE CARIBBEAN
Curacao,155.0,LATIN AMERICA AND THE CARIBBEAN
Dominica,72.0,LATIN AMERICA AND THE CARIBBEAN
Dominican Republic,10.5,LATIN AMERICA AND THE CARIBBEAN
Grenada,113.0,LATIN AMERICA AND THE CARIBBEAN
Guadeloupe,375.0,LATIN AMERICA AND THE CARIBBEAN
Haiti,11.402999999999999,LATIN AMERICA AND THE CARIBBEAN
Jamaica,2.8089999999999997,LATIN AMERICA AND THE CARIBBEAN
Martinique,356.0,LATIN AMERICA AND THE CARIBBEAN
Puerto Rico,3.1889999999999996,LATIN AMERICA AND THE CARIBBEAN
St. Kitts-Nevis,54.0,LATIN AMERICA AND THE CARIBBEAN
Saint Lucia,182.0,LATIN AMERICA AND THE CARIBBEAN
St. Vincent and the Grenadines,111.0,LATIN AMERICA AND THE CARIBBEAN
Trinidad and Tobago,1.369,LATIN AMERICA AND THE CARIBBEAN
Argentina,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN
Bolivia,11.633,LATIN AMERICA AND THE CARIBBEAN
Brazil,211.812,LATIN AMERICA AND THE CARIBBEAN
Chile,19.47,LATIN AMERICA AND THE CARIBBEAN
Colombia,49.443999999999996,LATIN AMERICA AND THE CARIBBEAN
Ecuador,17.511,LATIN AMERICA AND THE CARIBBEAN
French Guiana,294.0,LATIN AMERICA AND THE CARIBBEAN
Guyana,787.0,LATIN AMERICA AND THE CARIBBEAN
Paraguay,7.255,LATIN AMERICA AND THE CARIBBEAN
